conference,unique_id,institutions
aaai,14466,"['Huazhong Univ. of Sci. and Tech.', 'Temple University']"
aaai,14337,[]
aaai,14715,"['East China Normal University', 'IBM']"
aaai,14743,['KU Leuven']
aaai,14676,['Ctrip']
aaai,14438,"['University of Technology Sydney', 'Chinese Academy of Sciences']"
aaai,14421,"['University of Queensland', 'Columbia University', 'University of Electronic Science and Technology of China']"
aaai,14448,['Southeast University']
aaai,14165,['Tsinghua University']
aaai,14603,"['Indian Institute of Science', 'ERNET']"
aaai,14572,"['Anhui University', 'University of Science and Technology of China', 'University of S&T of China']"
aaai,14521,['East China Normal University']
aaai,14292,"['Dalian University of Technology', 'Cornell', 'IBM']"
aaai,14582,"['Chinese Academy of Sciences', 'Nanjing University', 'Nanjing University of Aeronautics and Astronautics']"
aaai,14543,['IIT Kanpur']
aaai,14969,"['UC Davis', 'University at Albany']"
aaai,14452,"['Hebrew University', 'Microsoft']"
aaai,14625,"['Georgia Institute of Technology', 'IBM']"
aaai,14259,"['Zhejiang University', 'University of Electronic Science and Technology of China']"
aaai,14707,"['Baidu', 'Rutgers University', 'Beihang University']"
aaai,14817,"['Tencent', 'Xiamen University', 'Fujian Key Laboratory of Sensing and Computing for Smart City']"
aaai,14637,['University of Texas at Arlington']
aaai,14385,"['East China Normal University', 'Shanghai Jiaotong University', 'IBM']"
aaai,14869,"['SUNY Buffalo', 'Microsoft']"
aaai,14700,['University of Adelaide']
aaai,14818,['Pennsylvania State University']
aaai,14940,['Arizona State University']
aaai,14464,['IBM']
aaai,14989,['Kyoto University']
aaai,14765,['Carnegie Mellon']
aaai,14388,"['East China Normal University', 'Shanghai Jiaotong University', 'Georgia Institute of Technology', 'IBM']"
aaai,14828,"['Australian National University', 'Data61', 'University of Toronto']"
aaai,14830,"['NEC', 'Facebook']"
aaai,14443,['East China Normal University']
aaai,14688,['Nanjing University']
aaai,14918,"['Ecole Normale Superieure', 'Tokyo Inst. of Tech.', 'University of Tokyo']"
aaai,14482,['Beihang University']
aaai,14333,['Northeastern University']
aaai,14630,['Technion']
aaai,14260,['Tsinghua University']
aaai,14440,['Beihang University']
aaai,14691,['Peking University']
