author,paper_count,institution,2013,2014,2015,2016,2017,2018,2019,Notes
 Thomas Brox,26,<none>,4,1,7,2,6,0,6
 Josef Sivic,26,<none>,3,2,3,2,7,3,6
 Jimei Yang,26,<none>,1,2,2,3,9,4,5
 Kate Saenko,26,<none>,2,2,6,2,6,1,7
 Vikas Singh,26,<none>,3,1,6,2,5,2,7
 Jingyi Yu,26,<none>,6,5,4,1,3,5,2
Trevor Darrell,26,UC Berkeley,5,6,0,2,3,4,6
David Blei,26,Columbia University,3,4,3,6,4,2,4
Bernhard Schölkopf,26,Max Planck Society,5,2,0,4,3,6,6
Jie Zhang,25,<none>,0,5,3,4,5,5,3
Shimon Whiteson,25,University of Oxford,0,0,2,1,3,8,11
Joelle Pineau,25,Facebook,4,2,2,3,4,4,6
Elias Bareinboim,25,Purdue,2,2,2,0,4,5,10
Csaba Szepesvari,25,DeepMind / University of Alberta,3,2,5,7,1,3,4
Stefanie Jegelka,25,Massachusetts Institute of Technology,3,4,0,4,4,6,4
 Torsten Sattler,25,<none>,0,0,5,1,7,4,8
 Jianping Shi,25,<none>,3,1,3,1,1,5,11
 Stefano Soatto,25,<none>,2,3,6,1,3,2,8
 Kyoung Mu Lee,25,<none>,4,3,4,2,3,3,6
Ian Goodfellow,25,Google,2,5,2,3,2,8,3
Bo An,24,Nanyang Technological University,0,2,1,5,4,6,6
Vincent Conitzer,24,Duke University,2,4,4,3,3,2,6
Peter Stone,24,<none>,1,1,5,3,7,5,2
Rong Jin,24,Alibaba,4,5,2,3,1,1,8
Yu Zhang,24,<none>,1,1,4,2,5,6,5
Ming Zhou,24,Microsoft,1,3,2,3,2,8,5
 Jiebo Luo,24,<none>,0,0,2,2,4,4,12
 Brian Price,24,<none>,1,2,7,5,3,3,3
 Scott Cohen,24,<none>,3,2,5,4,5,2,3
 Michael S. Brown,24,<none>,4,2,5,4,2,3,4
 Peng Wang,24,<none>,2,0,3,2,4,7,6
 Bingbing Ni,24,<none>,1,2,2,3,5,6,5
 Manmohan Chandraker,24,<none>,2,2,1,3,9,1,6
 Nuno Vasconcelos,24,<none>,3,1,6,1,4,2,7
 Yu Qiao,24,<none>,2,1,1,4,4,3,9
Timothy Lillicrap,24,DeepMind & UCL,0,0,1,3,4,7,9
Tommi Jaakkola,24,Massachusetts Institute of Technology,2,3,2,2,5,2,8
Jun Wang,23,<none>,0,2,4,0,3,7,7
Yi Yang,23,UTS,1,2,6,3,2,2,7
Emma Brunskill,23,Stanford University,1,1,3,3,6,3,6
Shuicheng Yan,23,National University of Singapore,3,7,1,3,4,3,2
Arindam Banerjee,23,Voleon,2,5,3,5,4,2,2
 Yaser Sheikh,23,<none>,3,1,2,2,3,5,7
 Timothy M. Hospedales,23,<none>,1,0,1,3,4,9,5
 Shaogang Gong,23,<none>,5,1,4,2,5,2,4
 Xiang Bai,23,<none>,0,1,3,4,5,4,6
 Alexei A. Efros,23,<none>,1,1,4,3,5,4,5
 Vittorio Ferrari,23,<none>,2,1,4,3,6,4,3
Ilya Sutskever,23,<none>,1,3,3,8,3,3,2
Jascha Sohl-Dickstein,23,Google,0,0,1,1,8,5,8
Nicolas Heess,23,Google,1,2,2,3,7,0,8
Suvrit Sra,23,Massachusetts Institute of Technology,2,2,3,7,2,2,5
Sewoong Oh,23,University of Washington,0,4,2,4,4,4,5
David Woodruff,23,Carnegie Mellon,1,3,0,3,3,4,9
Jianmin Wang,22,Tsinghua University,0,1,3,4,4,5,5
Yun Fu,22,Northeastern University,0,1,0,6,7,5,3
Kyunghyun Cho,22,New York University,1,3,4,2,2,6,4
Jieping Ye,22,<none>,5,7,4,1,0,2,3
 Ting Yao,22,<none>,0,0,2,4,5,3,8
 Marcus Rohrbach,22,<none>,1,0,5,3,5,1,7
 Rongrong Ji,22,<none>,2,0,3,0,1,4,12
 Xiaokang Yang,22,<none>,2,0,6,4,3,4,3
 Ivan Laptev,22,<none>,1,2,6,3,4,0,6
 Leonid Sigal,22,<none>,2,1,5,3,1,2,8
 Fatih Porikli,22,<none>,0,3,4,2,7,5,1
 Bohyung Han,22,<none>,3,0,2,4,6,1,6
 Sinisa Todorovic,22,<none>,3,2,5,2,5,2,3
 Stephen Lin,22,<none>,4,2,5,1,5,1,4
 Vincent Lepetit,22,<none>,2,2,7,3,2,4,2
 Tinne Tuytelaars,22,<none>,5,3,9,1,3,0,1
 Nassir Navab,22,<none>,0,2,6,1,5,2,6
Raquel Urtasun,22,Uber ATG,1,3,3,5,4,2,4
Jiajun Wu,22,Massachusetts Institute of Technology,0,0,1,2,4,5,10
Marcello Restelli,21,Politecnico di Milano,2,2,1,2,5,5,4
Mehryar Mohri,21,Courant Inst. of Math. Sciences & Google Research,1,4,2,4,3,3,4
Arthur Gretton,21,University College London,2,4,2,3,3,3,4
Dale Schuurmans,21,Google Inc.,2,3,2,2,3,3,6
 Jean Ponce,21,<none>,3,2,6,2,3,0,5
 Eli Shechtman,21,<none>,2,1,3,0,6,3,6
 Jue Wang,21,<none>,3,2,1,2,3,3,7
 Lingxi Xie,21,<none>,1,1,1,2,3,2,11
 Alexander G. Schwing,21,<none>,2,2,3,1,2,4,7
 Tatsuya Harada,21,<none>,1,2,1,3,1,5,8
 Haibin Ling,21,<none>,4,3,2,1,2,0,9
 Rama Chellappa,21,<none>,5,1,2,0,3,4,6
 Yasuyuki Matsushita,21,<none>,3,3,4,2,3,4,2
 Carsten Rother,21,<none>,2,2,3,1,8,2,3
 Konrad Schindler,21,<none>,5,2,4,5,4,0,1
Elad Hazan,21,Princeton University,1,2,4,5,2,5,2
Nati Srebro,21,University of Chicago,5,1,1,6,4,4,0
Ruslan R. Salakhutdinov,21,Carnegie Mellon,5,2,3,6,2,3,0
Qiang Yang,20,<none>,1,0,4,3,3,6,3
Vahab Mirrokni,20,Google Research NYC,1,1,0,2,4,4,8
Fei Wu,20,<none>,2,1,2,1,4,6,4
Yang Yang,20,<none>,0,2,1,3,4,5,5
Inderjit Dhillon,20,<none>,0,4,4,6,1,3,2
Bo Zhang,20,Tsinghua University,3,4,2,3,1,5,2
Mingyuan Zhou,20,University of Texas at Austin,0,1,1,1,1,10,6
 Jianbing Shen,20,<none>,0,0,2,0,2,4,12
 Noah Snavely,20,<none>,4,1,2,1,3,2,7
 Yinqiang Zheng,20,<none>,2,2,2,2,3,3,6
 Greg Mori,20,<none>,5,0,3,4,2,1,5
 Stan Z. Li,20,<none>,2,3,7,2,2,1,3
 Simon Lucey,20,<none>,3,1,2,1,6,2,5
 Kostas Daniilidis,20,<none>,1,2,4,1,4,3,5
 Wei-Shi Zheng,20,<none>,2,0,3,1,3,0,11
 Wenguan Wang,20,<none>,0,0,1,0,2,6,11
 Deyu Meng,20,<none>,2,2,4,3,4,2,3
 Hailin Jin,20,<none>,4,2,2,2,4,2,4
 Pushmeet Kohli,20,<none>,5,3,4,2,4,0,2
Surya Ganguli,20,Stanford University,1,3,2,3,4,3,4
Zhaoran Wang,20,Northwestern University,0,2,4,5,1,1,7
Yuanzhi Li,20,Princeton,0,0,0,4,5,4,7
Jonathan W. Pillow,20,Princeton University,5,5,1,3,1,5,0
Lijun Zhang,19,<none>,2,1,2,3,7,3,1
Wei Wang,19,EPFL,1,1,3,1,2,1,10
Song-Chun Zhu,19,"University of California, Los Angeles",1,0,0,1,3,7,7
J. Zico Kolter,19,Carnegie Mellon University / Bosch Center for AI,0,1,1,1,6,3,7
Chunyan Miao,19,<none>,0,3,1,5,2,4,4
Michael Bowling,19,University of Alberta / DeepMind,3,2,5,2,1,2,4
David Silver,19,Google,0,2,3,4,5,3,2
Michal Valko,19,DeepMind Paris and Inria Lille - Nord Europe,0,4,2,1,4,2,6
Christopher Ré,19,Stanford University,0,1,4,4,4,1,5
 Liang Wang,19,<none>,1,0,5,0,5,4,4
 Lingqiao Liu,19,<none>,3,0,2,3,7,1,3
 James M. Rehg,19,<none>,4,2,6,1,0,2,4
 Hao Su,19,<none>,0,0,2,2,5,4,6
 Jianfei Cai,19,<none>,0,2,1,2,4,2,8
 Jinshan Pan,19,<none>,0,1,0,3,5,6,4
 Qinfeng Shi,19,<none>,3,1,3,4,2,0,6
 Matthias Niessner,19,<none>,0,0,1,2,5,0,11
